GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
FHIR Dosage Support - Common,io.github.jy95.fds.common.translators,ModifierExtension,3,0,0,0,1,0,1,0,1,0
FHIR Dosage Support - Common,io.github.jy95.fds.common.translators,Extension,3,0,0,0,1,0,1,0,1,0
FHIR Dosage Support - Common,io.github.jy95.fds.common.l10n,QuantityComparator_es,74,0,0,0,3,0,3,0,3,0
FHIR Dosage Support - Common,io.github.jy95.fds.common.l10n,QuantityComparator_it,74,0,0,0,3,0,3,0,3,0
FHIR Dosage Support - Common,io.github.jy95.fds.common.l10n,QuantityComparator_nl,74,0,0,0,3,0,3,0,3,0
FHIR Dosage Support - Common,io.github.jy95.fds.common.l10n,EventTiming_pt,360,0,0,0,3,0,3,0,3,0
FHIR Dosage Support - Common,io.github.jy95.fds.common.l10n,EventTiming_nl,360,0,0,0,3,0,3,0,3,0
FHIR Dosage Support - Common,io.github.jy95.fds.common.l10n,DosageFields_nl,373,0,0,0,3,0,3,0,3,0
FHIR Dosage Support - Common,io.github.jy95.fds.common.l10n,EventTiming,0,360,0,0,0,3,0,3,0,3
FHIR Dosage Support - Common,io.github.jy95.fds.common.l10n,EventTiming_es,360,0,0,0,3,0,3,0,3,0
FHIR Dosage Support - Common,io.github.jy95.fds.common.l10n,DosageFields_fr,373,0,0,0,3,0,3,0,3,0
FHIR Dosage Support - Common,io.github.jy95.fds.common.l10n,EventTiming_it,360,0,0,0,3,0,3,0,3,0
FHIR Dosage Support - Common,io.github.jy95.fds.common.l10n,DosageFields,0,373,0,0,0,3,0,3,0,3
FHIR Dosage Support - Common,io.github.jy95.fds.common.l10n,QuantityComparator_pt,74,0,0,0,3,0,3,0,3,0
FHIR Dosage Support - Common,io.github.jy95.fds.common.l10n,QuantityComparator_de,74,0,0,0,3,0,3,0,3,0
FHIR Dosage Support - Common,io.github.jy95.fds.common.l10n,EventTiming_fr,360,0,0,0,3,0,3,0,3,0
FHIR Dosage Support - Common,io.github.jy95.fds.common.l10n,QuantityComparator,0,74,0,0,0,3,0,3,0,3
FHIR Dosage Support - Common,io.github.jy95.fds.common.l10n,DosageFields_es,373,0,0,0,3,0,3,0,3,0
FHIR Dosage Support - Common,io.github.jy95.fds.common.l10n,DosageFields_it,373,0,0,0,3,0,3,0,3,0
FHIR Dosage Support - Common,io.github.jy95.fds.common.l10n,DosageFields_de,373,0,0,0,3,0,3,0,3,0
FHIR Dosage Support - Common,io.github.jy95.fds.common.l10n,EventTiming_de,360,0,0,0,3,0,3,0,3,0
FHIR Dosage Support - Common,io.github.jy95.fds.common.l10n,QuantityComparator_fr,74,0,0,0,3,0,3,0,3,0
FHIR Dosage Support - Common,io.github.jy95.fds.common.l10n,DosageFields_pt,373,0,0,0,3,0,3,0,3,0
FHIR Dosage Support - Common,io.github.jy95.fds.common.types,DoseAndRateKey,33,0,0,0,6,0,1,0,1,0
FHIR Dosage Support - Common,io.github.jy95.fds.common.types,LinkWord,0,25,0,0,0,6,0,2,0,2
FHIR Dosage Support - Common,io.github.jy95.fds.common.types,TranslatorExtension,11,0,0,0,4,0,1,0,1,0
FHIR Dosage Support - Common,io.github.jy95.fds.common.types,Translator,0,2,0,0,0,1,0,1,0,1
FHIR Dosage Support - Common,io.github.jy95.fds.common.types,AbstractTranslatorsMap,16,23,1,1,2,7,2,2,1,2
FHIR Dosage Support - Common,io.github.jy95.fds.common.types,DosageMarkdown,0,347,0,6,0,87,0,23,0,20
FHIR Dosage Support - Common,io.github.jy95.fds.common.types,DisplayOrder,0,322,0,0,0,71,0,2,0,2
FHIR Dosage Support - Common,io.github.jy95.fds.common.types,SpecComponent,0,21,0,0,0,4,0,1,0,1
FHIR Dosage Support - Common,io.github.jy95.fds.common.types,DosageAPI,66,144,1,1,18,38,7,16,6,16
FHIR Dosage Support - Common,io.github.jy95.fds.common.translators.dosage,AdditionalInstruction,28,0,0,0,8,0,4,0,4,0
FHIR Dosage Support - Common,io.github.jy95.fds.common.functions,RangeToString,243,0,4,0,50,0,27,0,25,0
FHIR Dosage Support - Common,io.github.jy95.fds.common.functions,TranslationService,35,0,0,0,5,0,4,0,4,0
FHIR Dosage Support - Common,io.github.jy95.fds.common.functions,GenericOperations,18,0,2,0,7,0,4,0,3,0
FHIR Dosage Support - Common,io.github.jy95.fds.common.functions,UnitsOfTimeFormatter,90,0,0,0,24,0,3,0,3,0
FHIR Dosage Support - Common,io.github.jy95.fds.common.functions,RatioToString,246,0,10,0,50,0,24,0,19,0
FHIR Dosage Support - Common,io.github.jy95.fds.common.functions,QuantityToString,171,0,10,0,33,0,16,0,11,0
FHIR Dosage Support - Common,io.github.jy95.fds.common.functions,DayOfWeekFormatter,95,0,4,0,16,0,6,0,4,0
FHIR Dosage Support - Common,io.github.jy95.fds.common.functions,SequenceUtils,66,0,8,0,12,0,8,0,4,0
FHIR Dosage Support - Common,io.github.jy95.fds.common.functions,ListToString,45,12,2,2,9,3,4,1,2,1
FHIR Dosage Support - Common,io.github.jy95.fds.common.translators.timing.repeat,PeriodPeriodMax,69,0,0,0,12,0,7,0,7,0
FHIR Dosage Support - Common,io.github.jy95.fds.common.translators.timing.repeat,FrequencyFrequencyMaxPeriodPeriodMax,62,0,2,0,6,0,7,0,6,0
FHIR Dosage Support - Common,io.github.jy95.fds.common.translators.timing.repeat,DurationDurationMax,113,0,2,0,19,0,12,0,11,0
FHIR Dosage Support - Common,io.github.jy95.fds.common.translators.timing.repeat,TimeOfDay,5,0,0,0,1,0,1,0,1,0
FHIR Dosage Support - Common,io.github.jy95.fds.common.translators.timing.repeat,BoundsPeriod,81,0,2,0,18,0,11,0,10,0
FHIR Dosage Support - Common,io.github.jy95.fds.common.translators.timing.repeat,FrequencyFrequencyMax,126,0,2,0,23,0,13,0,12,0
FHIR Dosage Support - Common,io.github.jy95.fds.common.translators.timing.repeat,OffsetWhen,82,0,2,0,19,0,7,0,6,0
FHIR Dosage Support - Common,io.github.jy95.fds.common.bundle,MultiResourceBundle,23,29,0,2,5,8,3,4,3,3
FHIR Dosage Support - Common,io.github.jy95.fds.common.bundle,MultiResourceBundleControl,0,40,0,4,0,9,0,6,0,4
FHIR Dosage Support - Common,io.github.jy95.fds.common.config,DefaultImplementations,114,147,13,1,30,10,13,4,6,4
